group_id,timeslot_id,day,period,subject_id,teacher_id,room_id
G1,54,Fri,6,31901-2017,T07,R6203
G1,55,Fri,7,31901-2017,T07,R6203
G1,56,Fri,8,31901-2017,T07,R6203
G1,57,Fri,9,31901-2017,T07,R6203
G1,58,Fri,10,31901-2017,T07,R6203
G1,59,Fri,11,31901-2017,T07,R6203
G2,6,Mon,6,31901-2017,T07,R6303
G2,7,Mon,7,31901-2017,T07,R6303
G2,8,Mon,8,31901-2017,T07,R6303
G2,9,Mon,9,31901-2017,T07,R6303
G2,10,Mon,10,31901-2017,T07,R6303
G2,11,Mon,11,31901-2017,T07,R6303
G7,42,Thu,6,20901-2408,T13,R??????
G7,43,Thu,7,20901-2408,T13,R??????
G7,44,Thu,8,20901-2408,T13,R??????
G7,45,Thu,9,20901-2408,T13,R??????
G7,46,Thu,10,20901-2408,T13,R??????
G7,47,Thu,11,20901-2408,T13,R??????
G1,1,Mon,1,31901-2002,T01,R6301
G1,2,Mon,2,31901-2002,T01,R6301
G1,3,Mon,3,31901-2002,T01,R6301
G1,4,Mon,4,31901-2002,T01,R6301
G1,49,Fri,1,31901-2006,T03,R6303
G1,50,Fri,2,31901-2006,T03,R6303
G1,51,Fri,3,31901-2006,T03,R6303
G1,52,Fri,4,31901-2006,T03,R6303
G1,37,Thu,1,31901-2010,T04,R6301
G1,38,Thu,2,31901-2010,T04,R6301
G1,39,Thu,3,31901-2010,T04,R6301
G1,40,Thu,4,31901-2010,T04,R6301
G1,13,Tue,1,31901-2009,T04,R6302
G1,14,Tue,2,31901-2009,T04,R6302
G1,15,Tue,3,31901-2009,T04,R6302
G1,16,Tue,4,31901-2009,T04,R6302
G1,25,Wed,1,31901-2013,T08,R6302
G1,26,Wed,2,31901-2013,T08,R6302
G1,27,Wed,3,31901-2013,T08,R6302
G1,28,Wed,4,31901-2013,T08,R6302
G2,49,Fri,1,31901-2002,T01,R5306
G2,50,Fri,2,31901-2002,T01,R5306
G2,51,Fri,3,31901-2002,T01,R5306
G2,52,Fri,4,31901-2002,T01,R5306
G2,37,Thu,1,31901-2006,T03,R6405
G2,38,Thu,2,31901-2006,T03,R6405
G2,39,Thu,3,31901-2006,T03,R6405
G2,40,Thu,4,31901-2006,T03,R6405
G2,25,Wed,1,31901-2009,T04,R??????
G2,26,Wed,2,31901-2009,T04,R??????
G2,27,Wed,3,31901-2009,T04,R??????
G2,28,Wed,4,31901-2009,T04,R??????
G2,1,Mon,1,31901-2013,T08,R5204
G2,2,Mon,2,31901-2013,T08,R5204
G2,3,Mon,3,31901-2013,T08,R5204
G2,4,Mon,4,31901-2013,T08,R5204
G3,13,Tue,1,31901-2005,T03,R5306
G3,14,Tue,2,31901-2005,T03,R5306
G3,15,Tue,3,31901-2005,T03,R5306
G3,16,Tue,4,31901-2005,T03,R5306
G3,37,Thu,1,31901-2007,T01,R6201
G3,38,Thu,2,31901-2007,T01,R6201
G3,39,Thu,3,31901-2007,T01,R6201
G3,40,Thu,4,31901-2007,T01,R6201
G3,49,Fri,1,31901-2012,T04,R6301
G3,50,Fri,2,31901-2012,T04,R6301
G3,51,Fri,3,31901-2012,T04,R6301
G3,52,Fri,4,31901-2012,T04,R6301
G4,1,Mon,1,31901-2005,T03,R??????
G4,2,Mon,2,31901-2005,T03,R??????
G4,3,Mon,3,31901-2005,T03,R??????
G4,4,Mon,4,31901-2005,T03,R??????
G4,25,Wed,1,31901-2007,T01,R6201
G4,26,Wed,2,31901-2007,T01,R6201
G4,27,Wed,3,31901-2007,T01,R6201
G4,28,Wed,4,31901-2007,T01,R6201
G4,54,Fri,6,31901-2012,T04,R6205
G4,55,Fri,7,31901-2012,T04,R6205
G4,56,Fri,8,31901-2012,T04,R6205
G4,57,Fri,9,31901-2012,T04,R6205
G5,25,Wed,1,31900-0001,T07,R6301
G5,26,Wed,2,31900-0001,T07,R6301
G5,27,Wed,3,31900-0001,T07,R6301
G5,28,Wed,4,31900-0001,T07,R6301
